"Statistische Daten zu den Stadtteilen Hamburgs, © Statistikamt Nord ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Stadtgebiet","Bevölkerung und Haushalte 31.12.2016","","","","","","","","","","","","","","","","","","","","","Bevölkerungsbewegung 2016","","","","","Sozialstruktur","","","","","","","","","","","","","","","Wohnen","","","","","","","","","","","","","","Infrastruktur und Verkehr","","","","","","","","","",""
"","Bevölkerung","Unter 18-Jährige","Anteil der unter 18-Jährigen in %"," 65-Jährige und Ältere","Anteil der 65-Jährigen und Älteren in %","Ausländerinnen und Ausländer","Ausländeranteil in %","Bevölkerung mit Migrations-hintergrund","Anteil der Bevölkerung mit Migrations-hintergrund in %","Unter 18-Jährige mit Migrations-hintergrund","Anteil der unter 18-Jährigen mit Migrations-hintergrund in %","Haushalte","Personen je Haushalt","Einpersonen-haushalte","Anteil der Einpersonen-haushalte in %","Haushalte mit Kindern","Anteil der Haushalte mit Kindern in %","Alleinerziehende","Anteil der Haushalte von Alleinerziehenden in %","Fläche in km²","Bevölkerungs-dichte","Geburten","Sterbefälle","Zuzüge","Fortzüge","Wanderungssaldo","Sozial-versicherungs-pflichtig Beschäftigte (Dez 2016)","Beschäftigten-quote in % (Dez 2016)","Arbeitslose (Dez 2016)","Arbeitslosenanteil in % (Dez 2016)","Jüngere Arbeitslose (Dez 2016)","Arbeitslosenanteil Jüngerer in % (Dez 2016)","Ältere Arbeitslose (Dez 2016)","Arbeitslosenanteil Älterer in % (Dez 2016)","Leistungs-empfänger/-innen nach SGB II (Dez 2016)","Anteil der Leistungs-empfänger/-innen nach SGB II in % (Dez 2016)","Unter 15-Jährige in Mindestsicherung (Dez 2016)","Anteil der unter 15-Jährigen in Mindestsicherung in % (Dez 2016)","Bedarfs-gemeinschaften nach SGB II (Dez 2016)","Lohn- und Einkommen-steuerpflichtige (2013)","Gesamtbetrag der Einkünfte je Steuerpflichtigen in EUR (2013)","Wohngebäude (2016)","Wohnungen (2016)","Bezugsfertige Wohnungen (2016)","Wohnungen in Ein- und Zweifamilien-häusern (2016)","Anteil der Wohnungen in Ein- und Zweifamilien-häusern in % (2016)","Wohnungsgröße in m² (2016)","Wohnfläche je Einwohner/-in in m² (2016)","Sozialwohnungen (Jan 2017)","Sozialwohnungs-anteil in % (Jan 2017)","Sozialwohnungen mit Bindungsauslauf bis 2022","Sozialwohnungen mit Bindungsauslauf bis 2022 in %","Preise für Grundstücke in EUR/m² (Jan 2017)","Preise für Ein- bzw Zwei-familienhäuser in EUR/m² (Jan 2017)","Preise für Eigentums-wohnungen in EUR/m² (Jan 2017)","Kindergärten und Vorschulklassen (März 2017)","Grundschulen (2016/2017)","Schülerinnen und Schüler der Sekundarstufe I (2016/2017)","Anteil der Schülerinnen und Schüler in Stadtteilschulen in % (2016/2017)","Anteil der Schülerinnen und Schüler in Gymnasien in % (2016/2017)","Niedergelassene Ärzte (Jan 2017)","Allgemeinärzte (Jan 2017)","Zahnärzte (Dez 2016)","Apotheken (Dez 2016)","Private PKW (Jan 2017)","PKW-Dichte (Jan 2017)"
"","Anzahl der Einwohnerinnen und Einwohner","Anzahl der Kinder und Jugendlichen unter 18 Jahren","Anteil Kinder und Jugendlicher unter 18 Jahren an der Gesamt-bevölkerung","Anzahl älterer Einwohnerinnen und Einwohner über 64 Jahren","Anteil älterer Einwohnerinnen und Einwohner über 64 Jahren an der Gesamt-bevölkerung","Anzahl ausländischer Einwohnerinnen und Einwohner ","Anteil ausländischer Einwohnerinnen und Einwohner an der Gesamt-bevölkerung","Anzahl der Einwohnerinnen und Einwohner mit Migrations-hintergrund","Anteil der Einwohnerinnen und Einwohner mit Migrations-hintergrund an der Gesamt-bevölkerung","Anzahl der Kinder und Jugendlichen unter 18 Jahren mit Migrations-hintergrund","Anteil Kinder und Jugendlicher unter 18 Jahren mit Migrations-hintergrund an allen Kindern und Jugendlichen unter 18 Jahren","Anzahl der Haushalte","Durchschnittliche Anzahl der Personen je Haushalt","Anzahl der Einpersonen-haushalte","Anteil der Haushalte, in denen nur eine Person lebt, an allen Haushalten","Anzahl der Haushalte mit Kindern","Anteil der Haushalte, in denen Kinder leben, an allen Haushalten","Anzahl der Haushalte, in denen Alleinerziehende leben","Anteil der Haushalte, in denen Alleinerziehende leben, an allen Haushalten mit Kindern","Fläche in km²","Einwohnerinnen und Einwohner je km²","Anzahl der Lebendgeborenen","Anzahl der Sterbefälle","Zuzüge über die Stadtteilgrenze im Jahr 2016","Fortzüge über die Stadtteilgrenze im Jahr 2016","Differenz der Zuzüge und Fortzüge über die Stadtteilgrenze","Sozial-versicherungs-pflichtig Beschäftigte am Wohnort","Anteil sozial-versicherungs-pflichtig Beschäftigter am Wohnort an den Erwerbsfähigen (15 bis unter 65-Jährige)","Anzahl der Arbeitslosen","Anteil der Arbeitslosen an den Erwerbsfähigen (15 bis unter 65-Jährige)","Jüngere Arbeitslose im Alter von 15 bis unter 25 Jahren","Anteil jüngerer Arbeitsloser (15 bis unter 25-Jährige) an den jüngeren Erwerbsfähigen (15 bis unter 25-Jährige)","Ältere Arbeitslose im Alter von 55 bis unter 65 Jahren","Anteil älterer Arbeitsloser (55 bis unter 65-Jährige) an den älteren Erwerbsfähigen (55 bis unter 65-Jährige)","Anzahl der Leistungs-empfängerinnen und Leistungs-empfänger nach SGB II","Anteil der Leistungs-empfängerinnen und Leistungs-empfänger nach SGB II an der Gesamt-bevölkerung","Anzahl der Leistungs-empfängerinnen und Leistungs-empfänger nach SGB II unter 15 Jahren","Anteil der Leistungs-empfängerinnen und Leistungs-empfänger nach SGB II unter 15 Jahren an der Bevölkerung unter 15 Jahren","Anzahl der Bedarfs-gemeinschaften nach SGB II","Anzahl der Lohn- und Einkommen-steuerpflichtigen (2013)","Gesamtbetrag der Einkünfte je Steuerpflichtigen (Lohn- und Einkommen-steuer) im Jahr","Anzahl der Wohngebäude","Anzahl der Wohnungen","Anzahl der bezugsfertig gewordenen Wohnungen im Jahr","Anzahl der Wohnungen in Ein- und Zweifamilien-häusern","Anteil der Wohnungen in Ein- und Zweifamilien-häusern an allen Wohnungen","Durchschnittliche Wohnungsgröße in m²","Durchschnittliche Wohnfläche je Einwohner/-in in m²","Anzahl der Sozialwohnungen","Anteil der Sozialwohnungen an allen Wohnungen","Anzahl der Sozialwohnungen mit Bindungsauslauf bis 2022","Anteil der Sozialwohnungen mit Bindungsauslauf bis 2022 an allen Sozialwohnungen","Durchschnittlicher Immobilienpreis für ein Grundstück in EUR/m²","Durchschnittlicher Immobilienpreis für ein Ein- bzw Zweifamilienhaus in EUR/m²","Durchschnittlicher Immobilienpreis für eine Eigentums-wohnung in EUR/m²","Kindergärten und Vorschulklassen für Kinder im Alter von 3 Jahren bis Schuleintritt","Anzahl der Grundschulen","Anzahl der Schülerinnen und Schüler der Sekundarstufe I (nach Wohnort)","Anteil der Schülerinnen und Schüler in Stadtteilschulen an allen Schülerinnen und Schülern der Sekundarstufe I (nach Wohnort)","Anteil der Schülerinnen und Schüler in Gymnasien an allen Schülerinnen und Schülern der Sekundarstufe I (nach Wohnort)","Anzahl der niedergelassenen Ärzte","Anzahl der Allgemeinärzte","Anzahl der Zahnärzte","Anzahl der Apotheken","Anzahl privater PKW","Anzahl der privaten PKW je 1 000 Einwohnerinnen und Einwohner"
"Hamburg-Altstadt","2257.0","262.0","11.6083296411","248.0","10.9880372175","518.0","22.9508196721","965.0","42.7558706247","176.0","67.1755725191","1463.0","1.6001367054","900.0","61.5174299385","187.0","12.7819548872","49.0","26.2032085561","1.30034722827","1735.6902456","33.0","12.0","596.0","254.0","342.0","1095.0","61.7945823928","87.0","4.90970654628","8.0","4.87804878049","10.0","5.20833333333","227.0","10.0575985822","54.0","22.7848101266","128.0","1952.0","31336.0","98.0","1340.0","107.0","17.0","1.26865671642","73.002238806","43.342046965","214.0","15.9701492537","76.0","35.5140186916",".    ",".    ","4113.0","1.0","0.0","55.0","50.9090909091","45.4545454545","159.0","45.0","44.0","9.0","703.0","311.475409836"
"HafenCity","3275.0","662.0","20.213740458","306.0","9.34351145038","1074.0","32.7938931298","1490.0","45.4961832061","439.0","66.2141779789","1587.0","2.09829867675","647.0","40.7687460618","361.0","22.7473219912","54.0","14.9584487535","2.42561203","1350.17470209","65.0","8.0","1331.0","416.0","915.0","1120.0","46.9798657718","68.0","2.85234899329","10.0","3.07692307692","6.0","2.23048327138","285.0","8.70229007634","102.0","17.4358974359","117.0","1255.0","93206.0","78.0","1296.0","76.0","6.0","0.462962962963","93.2307098765","36.893740458","8.0","0.617283950617","0.0","0.0",".    ",".    ","6788.0","3.0","1.0","48.0","22.9166666667","77.0833333333","13.0","5.0","4.0","1.0","912.0","278.473282443"
"Neustadt","12657.0","1440.0","11.377103579","1805.0","14.2608833057","2708.0","21.3952753417","4714.0","37.2471554994","722.0","50.1388888889","8743.0","1.49365206451","6071.0","69.4384078692","997.0","11.403408441","290.0","29.0872617854","2.26190223946","5595.73255607","147.0","97.0","1961.0","1844.0","117.0","5607.0","58.3576186511","563.0","5.85970024979","22.0","2.23577235772","114.0","8.23104693141","1087.0","8.58813304891","179.0","14.3890675241","731.0","7015.0","34521.0","638.0","7329.0","0.0","67.0","0.914176558876","62.6088142994","36.2534565853","1422.0","19.4023741302","679.0","47.7496483826",".    ",".    ","4265.0","9.0","1.0","393.0","51.6539440204","46.5648854962","172.0","19.0","72.0","9.0","3168.0","250.296278739"
"St. Pauli","22595.0","2993.0","13.2462934277","2164.0","9.5773401195","4981.0","22.0447001549","8321.0","36.8332521801","1472.0","49.1485809683","15192.0","1.53073986309","10478.0","68.9705107952","1993.0","13.1187467088","657.0","32.9653788259","2.2424876661","10075.8636676","282.0","141.0","2753.0","2753.0","0.0","9240.0","51.7560073937","1368.0","7.66257771803","60.0","3.17965023847","202.0","9.93117010816","3188.0","14.1093162204","641.0","24.8642358417","2021.0","11066.0","27977.0","1272.0","12378.0","12.0","169.0","1.36532557764","64.0769106479","35.102633326","2033.0","16.4243011795","678.0","33.3497294638","1202.0",".    ","4657.0","18.0","1.0","782.0","59.0792838875","35.8056265985","37.0","11.0","14.0","8.0","4442.0","196.592166408"
"St. Georg","10814.0","1099.0","10.1627519882","1382.0","12.7797299797","2525.0","23.3493619382","4096.0","37.8768263362","553.0","50.3184713376","7063.0","1.50729151918","4840.0","68.5261220445","732.0","10.3638680447","178.0","24.3169398907","1.82265748887","5933.09498139","116.0","84.0","1862.0","1695.0","167.0","4596.0","54.1725601132","424.0","4.9976426214","15.0","1.39017608897","62.0","5.34482758621","846.0","7.82319215831","144.0","15.1898734177","547.0","5683.0","44121.0","535.0","6025.0","11.0","56.0","0.929460580913","71.3862240664","39.7727020529","702.0","11.6514522822","190.0","27.0655270655","1993.0",".    ","5041.0","8.0","3.0","282.0","43.2624113475","54.9645390071","106.0","36.0","14.0","7.0","2344.0","216.756056963"
"Hammerbrook","4067.0","558.0","13.7201868699","127.0","3.12269486108","2257.0","55.4954511925","2786.0","68.5700221511","509.0","91.5467625899","1792.0","1.49553571429","1244.0","69.4196428571","154.0","8.59375","42.0","27.2727272727","2.4959865878","1629.41580691","43.0","5.0","2875.0","1246.0","1629.0","1499.0","43.1739631336","284.0","8.1797235023","29.0","3.11827956989","32.0","15.0234741784","858.0","21.0966314237","171.0","36.5384615385","558.0","1199.0","19468.0","77.0","1678.0","604.0","6.0","0.357568533969","56.3367103695","23.2439144332","219.0","13.0512514899","0.0","0.0","788.0",".    ",".    ","4.0","1.0","111.0","51.3513513514","45.9459459459","0.0","0.0","13.0","0.0","507.0","124.661912958"
"Borgfelde","7461.0","826.0","11.0709020239","917.0","12.2905776706","2122.0","28.4412277175","3266.0","43.8154011269","581.0","70.4242424242","4418.0","1.44680851064","3110.0","70.393843368","419.0","9.48392937981","123.0","29.3556085919","0.8218548059","9078.24587316","100.0","61.0","1973.0","1370.0","603.0","3185.0","54.7533092659","310.0","5.32920749527","34.0","2.93609671848","52.0","7.91476407915","828.0","11.097708082","187.0","25.7221458047","506.0","3643.0","26217.0","380.0","4375.0","60.0","39.0","0.891428571429","55.2032","32.3701916633","130.0","2.97142857143","34.0","26.1538461538","618.0",".    ","3399.0","3.0","0.0","188.0","53.1914893617","45.2127659574","5.0","2.0","4.0","1.0","1623.0","217.531162043"
"Hamm","38136.0","4349.0","11.4039228026","5484.0","14.3801132788","6858.0","17.9830081812","13286.0","34.841213647","2692.0","61.870834291","25809.0","1.49161145337","17588.0","68.1467705064","2821.0","10.9302956333","896.0","31.7617866005","3.8888000964","9806.62390831","490.0","311.0","4941.0","5347.0","-406.0","18632.0","64.5375822653","1613.0","5.58711465189","85.0","2.11495396865","244.0","6.7721343325","4000.0","10.4887770086","974.0","25.7535695399","2340.0","21255.0","25745.0","2315.0","23299.0","77.0","257.0","1.10305163312","58.6828619254","35.8520033564","1177.0","5.0517189579","34.0","2.88870008496","367.0",".    ","2984.0","15.0","4.0","1185.0","57.4683544304","38.4810126582","28.0","11.0","27.0","7.0","10274.0","269.404237466"
"Horn","38549.0","5944.0","15.419336429","6104.0","15.8343925912","9720.0","25.2146618589","19325.0","50.1401068964","4378.0","73.6912977613","22646.0","1.71094232977","13376.0","59.0656186523","3574.0","15.7820365627","1179.0","32.9882484611","5.8975949211","6536.39331214","468.0","390.0","4684.0","4386.0","298.0","15000.0","54.7905175878","1962.0","7.16659970048","146.0","3.02152317881","301.0","7.25126475548","6598.0","17.1158784923","1856.0","36.6219415943","3437.0","17772.0","21685.0","2750.0","19292.0","1.0","986.0","5.11092680904","60.7920381505","30.4236166956","1561.0","8.09143686502","66.0","4.22805893658","300.0","2638.0","2610.0","15.0","5.0","1833.0","65.2482269504","29.6781232951","36.0","21.0","14.0","5.0","10117.0","262.445199616"
