category_restaurant_id,category_alias,category_title
Apz9UhdoIwKP4RGtjw7H6g,german,German
NH8UdkeMrq2YFSQLMSEruQ,cafes,Cafes
OjgVmVhRkm62fiClP6A6uQ,food,Food
AwL7KooU6B09c4AlQ7eN5w,bakeries,Bakeries
dZt3zUy7O8x0yL09p9_jgA,cafes,Cafes
GorMSUXMnwwfUMzbd1vGcQ,hotdogs,Fast Food
CP15eMmPVJUHL363eNV7Ag,sandwiches,Sandwiches
1VCV8T5KQWhG8-2_5oPu2w,cafes,Cafes
dzb7aCiy9JldM3zR2LzaJg,cafes,Cafes
2_b0ipYNKYppOxzHpbyY2w,restaurants,Restaurants
u3ub5f0MS4qY67Q8XF9ZoA,foodtrucks,Food Trucks
y0AMxH07q3UXg_E1NcCnZw,northerngerman,Northern German
jIsBpmSeu-Ryp1uEQaGBAA,german,German
C-T53fWPdrOQUxCIVD0glw,german,German
6xWAqTzNZwdDwwUWLVn4cA,kebab,Kebab
6VgfA1pTcDwlVbardrr5bA,greek,Greek
kXREhFdeXd_aAUM3qG5tCg,hotdogs,Fast Food
-x9wVOTLdet2XG9N-GqYwg,kebab,Kebab
z4IPVrXWPtDvurzgUQkI7g,fooddeliveryservices,Food Delivery Services
Tpegso_fkYOJpoHcB7a_dg,italian,Italian
U4NQRAh7oTjsmkea1B8dCg,italian,Italian
2jzIbZsfzca5drJYk7JwbQ,foodtrucks,Food Trucks
3eEB1Vmano1c96kZVeUsDA,cafes,Cafes
G5Ex8n1SADY3Amfc73gNXw,danceclubs,Dance Clubs
SFTJ6Rx4vb4LntnpTY9TGg,german,German
iCe90XaupBAUY0lCNsl5bw,greek,Greek
xt_Ga8o9W2rq2MnIp0iruQ,cafes,Cafes
utPCO_B6b1_pUaxtdGuIgg,breakfast_brunch,Breakfast & Brunch
BSBFGOqHzyTC5YmCr02AFA,northerngerman,Northern German
5HkbIoJJCCS3bXGwx3liZQ,seafood,Seafood
9VjqNQNKa5oLscdA_MGuIw,coffee,Coffee & Tea
