,0
0,german
1,cafes
2,food
3,bakeries
4,hotdogs
5,sandwiches
6,restaurants
7,foodtrucks
8,northerngerman
9,kebab
10,greek
11,fooddeliveryservices
12,italian
13,danceclubs
14,breakfast_brunch
15,seafood
16,coffee
17,chinese
18,currysausage
19,vietnamese
20,bars
21,polish
22,turkish
23,mediterranean
24,international
25,pizza
26,beer_and_wine
27,panasian
28,bistros
29,foodstands
30,hotels
31,pubs
32,steak
33,icecream
34,sushi
35,tapas
36,wine_bars
37,schnitzel
38,cocktailbars
39,burgers
40,serbocroatian
41,boatcharters
42,postoffices
43,spanish
44,divebars
45,kiosk
46,mongolian
47,mideastern
48,canteen
49,portuguese
50,potatoes
51,thai
52,indpak
53,tex-mex
54,vegetarian
55,fischbroetchen
56,brazilian
57,delicatessen
58,mexican
59,lounges
60,juicebars
61,halal
62,sports_clubs
63,gamemeat
64,malaysian
65,fishnchips
66,cakeshop
67,ramen
68,arabian
69,salad
70,shopping
71,beergarden
72,sportsbars
73,waffles
74,gastropubs
75,chickenshop
76,hotelstravel
77,afghani
78,beerbar
79,chicken_wings
80,modern_european
81,buffets
82,gluten_free
83,french
84,soup
85,popuprestaurants
86,landmarks
87,food_court
88,hotdog
89,theater
90,creperies
91,galleries
92,bagels
93,venues
94,fishmonger
95,desserts
96,bbq
97,indonesian
98,persian
99,austrian
100,japanese
101,karaoke
102,dimsum
103,vegan
104,oriental
105,syrian
106,bavarian
107,lebanese
108,brasseries
109,dinnertheater
110,servicestations
111,peruvian
112,grocery
113,wok
114,gaybars
115,cafeteria
116,employmentagencies
117,korean
118,swabian
119,irish_pubs
120,breweries
121,hawaiian
122,asianfusion
123,scandinavian
124,bookstores
125,falafel
126,belgian
127,tradamerican
128,flatbread
129,social_clubs
130,pretzels
131,conveyorsushi
132,delis
133,laotian
134,tapasmallplates
135,diners
136,latin
137,palatine
138,cupcakes
139,pakistani
140,hookah_bars
141,macarons
142,hair
143,beachbars
144,russian
145,himalayan
146,cheese
147,beerhall
148,caribbean
149,arts
150,bike_repair_maintenance
151,childcare
152,tea
153,themedcafes
154,bowling
155,vintage
156,african
157,georgian
158,meats
159,elementaryschools
160,fondue
161,moroccan
162,poolhalls
163,argentine
164,kids_activities
165,drugstores
166,homedecor
167,catering
168,active
169,accessories
170,seafoodmarkets
171,tennis
172,organic_stores
173,realestateagents
174,amateursportsteams
175,golf
