,attribute,importance
0,price,0.22336870360494518
2,restaurant_density,0.0843335802460253
111,hotdogs,0.07657042871583401
19,prices_for_condominiums,0.07461095813066325
18,prices_for_properties,0.056318646106885015
1,distance_to_water,0.05284524818570336
11,share_one_person_households,0.04447840761916028
67,conveyorsushi,0.04228390841044008
138,modern_european,0.02771402526567517
90,fooddeliveryservices,0.021207187614949802
14,population_density,0.020587557106003584
34,bars,0.018781266884249723
13,share_households_with_single_parents,0.015957789997338417
16,share_unemployed_people,0.014977625118554785
7,share_foreigners,0.014715217399510625
20,share_students_in_Gymnasium,0.014289793933620627
15,employment_quote_in_%,0.013146672014955658
17,sum_of_incomes_per_tax_reliable_person_in_EUR,0.012904655088982905
9,share_population_with_migration_background,0.012116250120432617
12,share_households_with_children,0.010364110160849205
8,population_with_migration_background,0.009038208482432586
3,crime_count,0.008974563343992027
6,share_65_year_olds_and_older,0.008844086451247908
61,chicken_wings,0.008199356349530503
149,pizza,0.007878935116334352
74,desserts,0.006365825709056821
21,car_density,0.006268092393424525
136,mexican,0.006154864625654034
163,sandwiches,0.006096785043726033
196,wine_bars,0.0060168432928509675
160,restaurants,0.0055128353850910595
10,households,0.004783535896758324
49,brazilian,0.004652664642161637
102,greek,0.004280720441231804
121,juicebars,0.004136862069414569
176,steak,0.003929672873184987
5,share_under_18_years_old,0.0036958996847079534
166,seafood,0.003658980452281922
135,mediterranean,0.003310919181073478
185,thai,0.002616392942082231
55,cafeteria,0.002607232188578172
53,burgers,0.002304615903850422
4,population,0.0022092653153649266
52,buffets,0.0020445087829598493
57,canteen,0.0019739984886209677
99,german,0.0019105083930864009
54,cafes,0.0017912233748227518
44,bistros,0.0014753965425606016
131,lounges,0.001418089850793499
123,kebab,0.0012279019751858563
145,palatine,0.0011533625188083398
193,vietnamese,0.0011532160815922168
117,international,0.0011326219704062817
50,breakfast_brunch,0.001064733933218087
68,creperies,0.0010097600369476842
146,panasian,0.0007345206332335915
85,fishnchips,0.0007327516144731047
96,gastropubs,0.0006038809980243104
189,turkish,0.00058349985978528
156,pretzels,0.0005113054684532701
190,vegan,0.0005046324358269289
92,foodtrucks,0.0004592007929303738
35,bavarian,0.0004077853547731455
177,sushi,0.0004070881502109951
70,currysausage,0.0003966277339413513
40,beergarden,0.00038197114053093215
141,northerngerman,0.0003731734309807974
106,hawaiian,0.00033915899218820756
143,oriental,0.00027743898721769515
64,chinese,0.0002466804651516332
155,potatoes,0.00020672051009432447
153,portuguese,0.00020646526279458714
91,foodstands,0.00019410293459484168
119,italian,0.00019281684695108335
88,food,0.00019198790099120188
