field_1,x,y,distance_to_water,restaurant_density,gml_id,OBJECTID,Bezirk_Name,Stadtteil,Ortsteilnummer,Bezirk,SHP_Length,SHP_Area
18,548645.00000,5934563,7.79309,0,F17__48,48,Altona,Rissen,227,2,28011.65134,16691536.08397
57,549645.00000,5934563,3.16147,0,F17__48,48,Altona,Rissen,227,2,28011.65134,16691536.08397
58,549645.00000,5935563,43.37800,0,F17__48,48,Altona,Rissen,227,2,28011.65134,16691536.08397
59,549645.00000,5936563,51.66988,0,F17__48,48,Altona,Rissen,227,2,28011.65134,16691536.08397
60,549645.00000,5937563,64.36430,1,F17__48,48,Altona,Rissen,227,2,28011.65134,16691536.08397
61,549645.00000,5938563,19.25995,0,F17__48,48,Altona,Rissen,227,2,28011.65134,16691536.08397
62,549645.00000,5939563,113.46075,0,F17__48,48,Altona,Rissen,227,2,28011.65134,16691536.08397
96,550645.00000,5934563,7.93821,0,F17__65,65,Altona,Blankenese,223,2,12711.34391,6099852.58749
97,550645.00000,5935563,116.76662,1,F17__65,65,Altona,Blankenese,223,2,12711.34391,6099852.58749
98,550645.00000,5936563,227.88084,0,F17__48,48,Altona,Rissen,227,2,28011.65134,16691536.08397
99,550645.00000,5937563,31.80922,2,F17__48,48,Altona,Rissen,227,2,28011.65134,16691536.08397
100,550645.00000,5938563,72.57596,0,F17__48,48,Altona,Rissen,227,2,28011.65134,16691536.08397
101,550645.00000,5939563,132.85174,1,F17__48,48,Altona,Rissen,227,2,28011.65134,16691536.08397
102,550645.00000,5940563,25.14648,0,F17__48,48,Altona,Rissen,227,2,28011.65134,16691536.08397
103,550645.00000,5941563,244.24617,0,F17__48,48,Altona,Rissen,227,2,28011.65134,16691536.08397
129,551645.00000,5928563,135.28398,0,F17__181,181,Harburg,Neuenfelde,717,7,18991.22622,15661713.91618
130,551645.00000,5929563,56.87720,0,F17__181,181,Harburg,Neuenfelde,717,7,18991.22622,15661713.91618
132,551645.00000,5931563,219.99210,0,F17__181,181,Harburg,Neuenfelde,717,7,18991.22622,15661713.91618
133,551645.00000,5932563,46.64887,0,F17__174,174,Harburg,Cranz,718,7,5942.21216,1332226.53858
134,551645.00000,5933563,5.25826,0,F17__43,43,Hamburg-Mitte,Finkenwerder,141,1,20776.54772,19628662.10629
135,551645.00000,5934563,3.12740,0,F17__65,65,Altona,Blankenese,223,2,12711.34391,6099852.58749
136,551645.00000,5935563,487.21256,1,F17__65,65,Altona,Blankenese,223,2,12711.34391,6099852.58749
137,551645.00000,5936563,726.26145,0,F17__48,48,Altona,Rissen,227,2,28011.65134,16691536.08397
138,551645.00000,5937563,80.70947,0,F17__48,48,Altona,Rissen,227,2,28011.65134,16691536.08397
139,551645.00000,5938563,55.98230,0,F17__48,48,Altona,Rissen,227,2,28011.65134,16691536.08397
140,551645.00000,5939563,249.55935,0,F17__53,53,Altona,Sülldorf,226,2,13717.27978,5732035.71646
141,551645.00000,5940563,142.99548,0,F17__48,48,Altona,Rissen,227,2,28011.65134,16691536.08397
167,552645.00000,5927563,156.42369,0,F17__181,181,Harburg,Neuenfelde,717,7,18991.22622,15661713.91618
168,552645.00000,5928563,44.07526,0,F17__181,181,Harburg,Neuenfelde,717,7,18991.22622,15661713.91618
169,552645.00000,5929563,298.72038,0,F17__181,181,Harburg,Neuenfelde,717,7,18991.22622,15661713.91618
170,552645.00000,5930563,394.67860,0,F17__181,181,Harburg,Neuenfelde,717,7,18991.22622,15661713.91618
171,552645.00000,5931563,306.35115,0,F17__181,181,Harburg,Neuenfelde,717,7,18991.22622,15661713.91618
172,552645.00000,5932563,7.88149,0,F17__43,43,Hamburg-Mitte,Finkenwerder,141,1,20776.54772,19628662.10629
173,552645.00000,5933563,9.12231,0,F17__43,43,Hamburg-Mitte,Finkenwerder,141,1,20776.54772,19628662.10629
174,552645.00000,5934563,8.08380,1,F17__65,65,Altona,Blankenese,223,2,12711.34391,6099852.58749
175,552645.00000,5935563,745.51656,1,F17__65,65,Altona,Blankenese,223,2,12711.34391,6099852.58749
