,x,y,price_level,category,predicted_success,distance_to_water,restaurant_density,crime_count,population,share_under_18_years_old,share_65_year_olds_and_older,share_foreigners,population_with_migration_background,share_population_with_migration_background,households,share_one_person_households,share_households_with_children,share_households_with_single_parents,population_density,employment_quote_in_%,share_unemployed_people,sum_of_incomes_per_tax_reliable_person_in_EUR,prices_for_properties,prices_for_condominiums,share_students_in_Gymnasium,car_density
593,575645.0,5939563,€,hotdogs,1.1977914927572482,35.570879999999995,3,5976.0,90631.0,17.3,22.67215412,12.51117167,28324.0,31.26579903,46401.0,46.10460981,20.45861081,26.96723902,3411.543072,58.15357766,5.108202443,33419.0,418,2670,41.36980909,397.46885719999995
51,553645.0,5936563,€,hotdogs,1.1977914927572482,110.92771,3,,9430.0,19.6,20.93319194,13.48886532,2253.0,23.90197327,4642.0,46.03619129999999,22.79190004,22.02268431,1643.9501,50.80563948,4.800268546,43584.0,719,3165,58.43949045,393.5312831
463,571645.0,5937563,€,hotdogs,1.1977914927572482,236.22286,3,4547.0,34469.0,12.1,19.09541907,15.90414575,11395.0,33.0750029,21220.0,61.20640905,12.71913289,26.56539459,5799.367421,63.36198034,4.996093589,28567.0,452,3413,43.90665514,331.3412051
362,567645.0,5939563,€,hotdogs,1.1977914927572482,66.27405,3,4177.0,54826.0,12.5,14.70835005,12.09097873,12849.0,23.44750817,35273.0,65.20851643,13.06948658,23.64425163,7228.872484999999,62.43803073,3.5046384919999998,51627.0,2639,5020,59.21521998,321.2526903
695,579645.0,5927563,€,hotdogs,1.1977914927572482,7.15013,3,,39575.0,15.7,23.85091598,12.14150347,15284.0,38.65452706,20782.0,48.27254355,18.36204408,28.95702306,3033.740493,60.61461398,5.017094697,29127.0,388,2412,41.41755063,367.6058118
694,579645.0,5926563,€,hotdogs,1.1977914927572482,31.3063,3,4723.0,35105.0,17.3,20.14527845,14.82409913,11208.0,31.95711679,18101.0,49.19617701,19.33594829,28.22857143,3388.8083840000004,57.40886098,4.979940694,35049.0,442,2744,46.47588765,345.2499644
709,580645.0,5926563,€,hotdogs,1.1977914927572482,16.51588,3,4723.0,35105.0,17.3,20.14527845,14.82409913,11208.0,31.95711679,18101.0,49.19617701,19.33594829,28.22857143,3388.8083840000004,57.40886098,4.979940694,35049.0,442,2744,46.47588765,345.2499644
354,567645.0,5931563,€,hotdogs,1.1977914927572482,211.55837000000002,3,709.0,4632.0,20.0,8.376511226,43.99827288,3314.0,71.57667387,2496.0,57.77243589999999,20.19230769,26.19047619,1059.661757,49.55266955,10.67821068,15831.0,196,.    ,18.78787879,174.22279790000002
179,560645.0,5939563,€,hotdogs,1.1977914927572482,107.74548999999999,3,2653.0,32403.0,16.3,22.26337068,15.93679598,11306.0,34.92956006,17297.0,49.37850494,18.86454298,26.23352743,3714.9386219999997,58.99093189,5.686860891,30938.0,455,2775,38.94472362,356.1090023
233,562645.0,5942563,€,hotdogs,1.1977914927572482,40.10161,3,2819.0,41836.0,15.7,26.00870064,10.47423272,9189.0,21.98115013,21637.0,47.39104312,18.46836438,19.76976977,3369.0920539999997,59.21279599,3.136270974,41651.0,515,3259,60.68204614,420.0449374
553,574645.0,5932563,€,hotdogs,1.1977914927572482,20.66013,3,7771.0,70234.0,19.3,18.03257681,24.74869721,39605.0,56.40211339,34807.0,45.90455943,22.5644267,31.02877515,4150.003928,52.23101641,8.725657228,23247.0,319,2399,28.51883932,310.47640739999997
521,573645.0,5932563,€,hotdogs,1.1977914927572482,34.51579,3,7771.0,70234.0,19.3,18.03257681,24.74869721,39605.0,56.40211339,34807.0,45.90455943,22.5644267,31.02877515,4150.003928,52.23101641,8.725657228,23247.0,319,2399,28.51883932,310.47640739999997
153,559645.0,5935563,€,hotdogs,1.1977914927572482,120.08511000000001,3,2901.0,31047.0,16.4,12.83537862,24.25677199,11413.0,36.75447636,16486.0,59.26240446,17.09329128,24.34350603,2945.363973,54.56384991,6.356398187999999,33565.0,674,3739,41.55555556,283.31239730000004
135,558645.0,5936563,€,hotdogs,1.1977914927572482,116.17726,3,2901.0,31047.0,16.4,12.83537862,24.25677199,11413.0,36.75447636,16486.0,59.26240446,17.09329128,24.34350603,2945.363973,54.56384991,6.356398187999999,33565.0,674,3739,41.55555556,283.31239730000004
390,568645.0,5940563,€,hotdogs,1.1977914927572482,216.28239,3,1487.0,15794.0,15.8,17.11409396,9.826516398999999,3436.0,21.75509687,9107.0,56.30833425,17.32733062,22.62357414,2205.6234289999998,60.55474185,4.165140974,39049.0,617,3554,46.02739726,350.6394833
87,556645.0,5924563,€,hotdogs,1.1977914927572482,125.30443000000001,3,2011.0,28991.0,19.3,20.81680522,15.80835432,12885.0,44.46783545,13506.0,38.94565378,23.25633052,25.46959567,1287.148774,55.54343677,7.0076893710000006,31101.0,266,1993,33.05322129,355.59311510000003
459,571645.0,5933563,€,hotdogs,1.1977914927572482,15.90815,3,3633.0,38549.0,15.4,15.83439259,25.21466186,19325.0,50.1401069,22646.0,59.06561865,15.78203656,32.98824846,6536.393312,54.79051759,7.1665997,21685.0,300,2610,29.6781233,262.44519959999997
408,569645.0,5933563,€,hotdogs,1.1977914927572482,47.47443,3,3175.0,38136.0,11.4,14.38011328,17.98300818,13286.0,34.84121365,25809.0,68.14677051,10.93029563,31.761786600000004,9806.623908,64.53758227,5.587114652,25745.0,367,2984,38.48101266,269.4042375
