,x,y,price_level,category,predicted_success,distance_to_water,restaurant_density,crime_count,population,share_under_18_years_old,share_65_year_olds_and_older,share_foreigners,population_with_migration_background,share_population_with_migration_background,households,share_one_person_households,share_households_with_children,share_households_with_single_parents,population_density,employment_quote_in_%,share_unemployed_people,sum_of_incomes_per_tax_reliable_person_in_EUR,prices_for_properties,prices_for_condominiums,share_students_in_Gymnasium,car_density
228,562645.0,5936563,€,kebab,0.741897788325051,103.80643,15,,262130.0,39569.0,19.01422958,13.55815817,71787.0,27.39920001,151685.0,57.13089627,16.46240564,23.61138921,5263.654618,58.46107318,4.073300365,44653.0,.    ,.    ,56.30752572,343.9400298
342,566645.0,5938563,€,kebab,0.741897788325051,269.70541000000003,13,4177.0,54826.0,6845.0,14.70835005,12.09097873,12849.0,23.44750817,35273.0,65.20851643,13.06948658,23.64425163,7228.872484999999,62.43803073,3.5046384919999998,51627.0,2639,5020,59.21521998,321.2526903
273,564645.0,5923563,€,kebab,0.741897788325051,218.84766000000002,5,6249.0,26098.0,4164.0,10.66365239,40.78856617,15558.0,59.64804662,14144.0,62.13235294,15.46238688,30.13260174,6539.789375,48.92451299,7.807426948,20773.0,283,2750,22.68907563,187.0641428
156,559645.0,5938563,€,kebab,0.741897788325051,154.59874,4,2653.0,32403.0,5282.0,22.26337068,15.93679598,11306.0,34.92956006,17297.0,49.37850494,18.86454298,26.23352743,3714.9386219999997,58.99093189,5.686860891,30938.0,455,2775,38.94472362,356.1090023
158,559645.0,5940563,€,kebab,0.741897788325051,99.75685,14,2653.0,32403.0,5282.0,22.26337068,15.93679598,11306.0,34.92956006,17297.0,49.37850494,18.86454298,26.23352743,3714.9386219999997,58.99093189,5.686860891,30938.0,455,2775,38.94472362,356.1090023
264,563645.0,5939563,€,kebab,0.741897788325051,113.0745,4,1583.0,28426.0,4794.0,20.38626609,13.804263699999998,8326.0,29.30967719,15393.0,53.96608848,19.06061197,21.30197682,5805.727005,59.59541324,3.8673734310000003,41778.0,736,3656,57.83699059999999,336.8043341
348,566645.0,5944563,€,kebab,0.741897788325051,88.78943000000001,6,4015.0,45586.0,8017.0,19.52134427,15.65831615,14120.0,31.00162473,22845.0,48.08929744,20.16633837,26.48144129,3410.3023789999997,57.12718934,5.340822227,30965.0,332,3450,41.13300493,364.84885710000003
262,563645.0,5937563,€,kebab,0.741897788325051,19.69182,11,1583.0,28426.0,4794.0,20.38626609,13.804263699999998,8326.0,29.30967719,15393.0,53.96608848,19.06061197,21.30197682,5805.727005,59.59541324,3.8673734310000003,41778.0,736,3656,57.83699059999999,336.8043341
261,563645.0,5936563,€,kebab,0.741897788325051,39.2276,34,,262130.0,39569.0,19.01422958,13.55815817,71787.0,27.39920001,151685.0,57.13089627,16.46240564,23.61138921,5263.654618,58.46107318,4.073300365,44653.0,.    ,.    ,56.30752572,343.9400298
451,570645.0,5940563,€,kebab,0.741897788325051,22.63901,4,3906.0,51858.0,7542.0,21.81148521,11.40421921,14564.0,28.10660594,29760.0,53.43413978,16.42473118,28.92798691,5151.867482,61.16343489999999,5.2806531560000005,30928.0,444,2818,42.23385689,399.0705388
