,Unnamed: 0,Unnamed: 0.1,id,price,rating,review_cou,is_closed,zip_code,epsg25832_,epsg2583_1,epsg4326_l,epsg4326_1,Bezirk_Nam,Stadtteil,success
0,0,0,Apz9UhdoIwKP4RGtjw7H6g,€€€,5.0,6,False,21037.0,580729.34324,5917411.0039099995,53.3996,10.2142,Bergedorf,Kirchwerder,1.0201660255945173
1,1,1,NH8UdkeMrq2YFSQLMSEruQ,€,5.0,5,False,21037.0,581072.09837,5918640.868980003,53.4106,10.219669999999999,Bergedorf,Kirchwerder,0.9971268781210008
2,2,2,u3ub5f0MS4qY67Q8XF9ZoA,€€,5.0,3,False,,565706.3643199999,5934330.92734,53.55375,9.99183,Hamburg-Mitte,Neustadt,0.9510485831739678
3,3,3,jIsBpmSeu-Ryp1uEQaGBAA,€€,5.0,2,False,21039.0,585821.87473,5920816.46959,53.4294,10.2917,Bergedorf,Altengamme,0.9280094357004514
4,4,4,2jzIbZsfzca5drJYk7JwbQ,€,4.0,2,False,,565749.38873,5934286.10981,53.55334000000001,9.992469999999999,Hamburg-Mitte,Neustadt,-0.348068079002101
5,5,5,G5Ex8n1SADY3Amfc73gNXw,,4.0,1,False,21037.0,576375.7589100001,5919742.395269997,53.4212,10.1493,Bergedorf,Kirchwerder,-0.37110722647561756
6,6,6,SFTJ6Rx4vb4LntnpTY9TGg,€€,3.0,16,False,21037.0,577688.80125,5917558.30681,53.40138,10.16852,Bergedorf,Kirchwerder,-1.3015975290754227
7,7,7,iCe90XaupBAUY0lCNsl5bw,,1.5,2,False,21037.0,577361.49725,5917816.26191,53.40375,10.16366,Bergedorf,Kirchwerder,-3.538261865758482
8,8,8,xt_Ga8o9W2rq2MnIp0iruQ,€,4.0,7,False,21037.0,577647.2015,5917556.5130400015,53.40136999999999,10.16789,Bergedorf,Kirchwerder,-0.23287234163451861
9,9,9,BSBFGOqHzyTC5YmCr02AFA,€€€,3.5,112,False,21037.0,578816.0675100001,5917328.7613900015,53.39915,10.185410000000001,Bergedorf,Kirchwerder,1.548199385733436
10,10,10,5F6SisQK8b14kzBENh1xaA,€,4.5,5,False,21037.0,578819.74216,5917868.49716,53.404,10.1856,Bergedorf,Kirchwerder,0.35908812076972463
11,11,11,BTz2Hkdq7b_SPpdMX0oQeg,€€,1.5,5,False,21037.0,578684.55938,5917198.61467,53.398,10.1834,Bergedorf,Kirchwerder,-3.4691444233379327
12,12,12,M1lUgg7Yiy8bAoU0Rb_4IA,€,3.5,2,False,21037.0,578668.29219,5917205.80607,53.39807,10.18316,Bergedorf,Kirchwerder,-0.9861068363533771
