,city_part,population,share_under_18_years_old,65_year_olds_and_older,share_65_year_olds_and_older,foreigners,share_foreigners,population_with_migration_background,share_population_with_migration_background,below_18_year_olds_with_migration_background,share_below_18_year_olds_with_migration_background,households,people_per_household,one_person_households,share_one_person_households,households_with_children,share_households_with_children,single_parents,share_households_with_single_parents,area_in_square_kms,population_density,births,deaths,immigration,emigration,migration_balance,insurable_employees,employment_quote_in_%,unemployed_people,share_unemployed_people,younger_unemployed_people,share_younger_unemployed_people,older_unemployed_people,share_older_unemployed_people,service_recipients_per_SGB_II,share_service_recipients_per_SGB_II,under_15_year_olds_in_minimum_income,share_under_15_year_olds_in_minimum_income,shared_households_per_SGB_II,tax_liable_people,sum_of_incomes_per_tax_reliable_person_in_EUR,residential_buildings,apartments,apartments_ready_for_occupancy,homes_in_one_or_two_family_houses,share_homes_in_one_or_two_family_houses,home_size_in_sqm,living_area_per_resident_in_sqm,social_homes,share_social_homes,social_homes_with_ends_of_commitment_until_2022,share_social_homes_with_ends_of_commitment_until_2022,prices_for_properties,prices_for_one_or_two_family_houses_in_EUR/sqm,prices_for_condominiums,kindergardens_and_preschool_classes,primary_schools,students_in_secondary_level_1,share_students_in_city_district_schools,share_students_in_Gymnasium,residential_practitioners,general_practitioners,dentists,pharmacys,private_cars,car_density
0,Hamburg-Altstadt,2257,262,248,10.98803722,518,22.95081967,965,42.75587062,176,67.17557252,1463,1.600136705,900,61.51742994,187,12.78195489,49,26.20320856,1.300347228,1735.6902460000001,33,12,596,254,342,1095,61.79458239,87,4.909706546000001,8,4.87804878,10,5.208333333,227,10.05759858,54,22.78481013,128,1952,31336,98,1340,107,17,1.268656716,73.00223881,43.34204697,214,15.97014925,76,35.51401869,.    ,.    ,4113,1,0,55,50.90909091,45.45454545,159,45,44,9,703,311.4754098
1,HafenCity,3275,662,306,9.34351145,1074,32.79389313,1490,45.49618321,439,66.21417798,1587,2.098298677,647,40.76874606,361,22.74732199,54,14.95844875,2.42561203,1350.174702,65,8,1331,416,915,1120,46.97986577,68,2.852348993,10,3.076923077,6,2.2304832709999998,285,8.702290076,102,17.43589744,117,1255,93206,78,1296,76,6,0.46296296299999995,93.23070988,36.89374046,8,0.617283951,0,0.0,.    ,.    ,6788,3,1,48,22.91666667,77.08333333,13,5,4,1,912,278.47328239999996
2,Neustadt,12657,1440,1805,14.26088331,2708,21.39527534,4714,37.2471555,722,50.13888889,8743,1.493652065,6071,69.43840787,997,11.40340844,290,29.08726179,2.261902239,5595.732556,147,97,1961,1844,117,5607,58.35761865,563,5.85970025,22,2.235772358,114,8.231046931,1087,8.588133049,179,14.38906752,731,7015,34521,638,7329,0,67,0.914176559,62.60881429999999,36.25345659,1422,19.40237413,679,47.74964838,.    ,.    ,4265,9,1,393,51.65394402,46.564885499999995,172,19,72,9,3168,250.2962787
3,St. Pauli,22595,2993,2164,9.57734012,4981,22.04470015,8321,36.83325218,1472,49.14858097,15192,1.5307398630000002,10478,68.9705108,1993,13.11874671,657,32.96537883,2.242487666,10075.86367,282,141,2753,2753,0,9240,51.75600739,1368,7.662577718,60,3.1796502380000002,202,9.931170108,3188,14.10931622,641,24.86423584,2021,11066,27977,1272,12378,12,169,1.3653255780000002,64.07691065,35.10263333,2033,16.42430118,678,33.34972946,1202,.    ,4657,18,1,782,59.07928389,35.805626600000004,37,11,14,8,4442,196.5921664
4,St. Georg,10814,1099,1382,12.77972998,2525,23.34936194,4096,37.87682634,553,50.31847134,7063,1.507291519,4840,68.52612204,732,10.36386804,178,24.31693989,1.822657489,5933.094981,116,84,1862,1695,167,4596,54.17256011,424,4.997642621000001,15,1.3901760890000001,62,5.344827586,846,7.8231921579999995,144,15.18987342,547,5683,44121,535,6025,11,56,0.929460581,71.38622407,39.77270205,702,11.65145228,190,27.06552707,1993,.    ,5041,8,3,282,43.26241135,54.96453901,106,36,14,7,2344,216.75605699999997
5,Hammerbrook,4067,558,127,3.1226948610000003,2257,55.49545119,2786,68.57002215,509,91.54676259,1792,1.495535714,1244,69.41964286,154,8.59375,42,27.27272727,2.495986588,1629.415807,43,5,2875,1246,1629,1499,43.17396313,284,8.179723502,29,3.11827957,32,15.02347418,858,21.09663142,171,36.53846154,558,1199,19468,77,1678,604,6,0.357568534,56.33671037,23.24391443,219,13.05125149,0,0.0,788,.    ,.    ,4,1,111,51.35135135,45.94594595,0,0,13,0,507,124.66191299999998
6,Borgfelde,7461,826,917,12.29057767,2122,28.44122772,3266,43.81540113,581,70.42424242,4418,1.446808511,3110,70.39384337,419,9.48392938,123,29.35560859,0.8218548059999999,9078.245873,100,61,1973,1370,603,3185,54.75330927,310,5.329207495,34,2.936096718,52,7.914764078999999,828,11.09770808,187,25.7221458,506,3643,26217,380,4375,60,39,0.891428571,55.2032,32.37019166,130,2.971428571,34,26.15384615,618,.    ,3399,3,0,188,53.19148936,45.21276596,5,2,4,1,1623,217.53116200000002
7,Hamm,38136,4349,5484,14.38011328,6858,17.98300818,13286,34.84121365,2692,61.87083429,25809,1.4916114530000002,17588,68.14677051,2821,10.93029563,896,31.761786600000004,3.888800096,9806.623908,490,311,4941,5347,-406,18632,64.53758227,1613,5.587114652,85,2.114953969,244,6.7721343329999995,4000,10.48877701,974,25.75356954,2340,21255,25745,2315,23299,77,257,1.103051633,58.68286193,35.85200336,1177,5.051718958,34,2.888700085,367,.    ,2984,15,4,1185,57.46835443,38.48101266,28,11,27,7,10274,269.4042375
8,Horn,38549,5944,6104,15.83439259,9720,25.21466186,19325,50.1401069,4378,73.69129776,22646,1.71094233,13376,59.06561865,3574,15.78203656,1179,32.98824846,5.8975949210000005,6536.393312,468,390,4684,4386,298,15000,54.79051759,1962,7.1665997,146,3.021523179,301,7.251264755,6598,17.11587849,1856,36.62194159,3437,17772,21685,2750,19292,1,986,5.1109268089999995,60.79203815,30.4236167,1561,8.091436865,66,4.228058937,300,2638,2610,15,5,1833,65.24822695,29.6781233,36,21,14,5,10117,262.44519959999997
9,Billstedt,70234,13539,12665,18.03257681,17382,24.74869721,39605,56.40211339,10128,74.82269504,34807,2.014594765,15978,45.90455943,7854,22.5644267,2437,31.02877515,16.9238394,4150.003928,773,628,5586,5637,-51,24219,52.23101641,4046,8.725657228,340,4.039923954,648,7.3577835810000005,15373,21.88825925,4530,40.44642857,7154,29100,23247,7940,31588,81,6243,19.76383437,72.2823224,32.50924054,7606,24.07876409,2555,33.59190113,319,2633,2399,25,8,4618,67.69164140000001,28.51883932,98,47,40,10,21806,310.47640739999997
