field_1,id,price,rating,review_cou,is_closed,zip_code,epsg25832_,epsg2583_1,epsg4326_l,epsg4326_1,success,Stadtteil
0,Apz9UhdoIwKP4RGtjw7H6g,€€€,5.00000,6,False,21037.00000,580729.34324,5917411.00391,53.39960,10.21420,-0.65077,Kirchwerder
1,NH8UdkeMrq2YFSQLMSEruQ,€,5.00000,5,False,21037.00000,581072.09837,5918640.86898,53.41060,10.21967,-0.45510,Kirchwerder
10,u3ub5f0MS4qY67Q8XF9ZoA,€€,5.00000,3,False,,565706.36432,5934330.92734,53.55375,9.99183,-0.70164,Neustadt
12,jIsBpmSeu-Ryp1uEQaGBAA,€€,5.00000,2,False,21039.00000,585821.87473,5920816.46959,53.42940,10.29170,-0.72425,Altengamme
21,2jzIbZsfzca5drJYk7JwbQ,€,4.00000,2,False,,565749.38873,5934286.10981,53.55334,9.99247,-0.56593,Neustadt
23,G5Ex8n1SADY3Amfc73gNXw,,4.00000,1,False,21037.00000,576375.75891,5919742.39527,53.42120,10.14930,-0.59050,Kirchwerder
24,SFTJ6Rx4vb4LntnpTY9TGg,€€,3.00000,16,False,21037.00000,577688.80125,5917558.30681,53.40138,10.16852,-0.40764,Kirchwerder
25,iCe90XaupBAUY0lCNsl5bw,,1.50000,2,False,21037.00000,577361.49725,5917816.26191,53.40375,10.16366,-0.22495,Kirchwerder
26,xt_Ga8o9W2rq2MnIp0iruQ,€,4.00000,7,False,21037.00000,577647.20150,5917556.51304,53.40137,10.16789,-0.38121,Kirchwerder
28,BSBFGOqHzyTC5YmCr02AFA,€€€,3.50000,112,False,21037.00000,578816.06751,5917328.76139,53.39915,10.18541,1.08814,Kirchwerder
33,5F6SisQK8b14kzBENh1xaA,€,4.50000,5,False,21037.00000,578819.74216,5917868.49716,53.40400,10.18560,-0.45510,Kirchwerder
34,BTz2Hkdq7b_SPpdMX0oQeg,€€,1.50000,5,False,21037.00000,578684.55938,5917198.61467,53.39800,10.18340,-0.65641,Kirchwerder
35,M1lUgg7Yiy8bAoU0Rb_4IA,€,3.50000,2,False,21037.00000,578668.29219,5917205.80607,53.39807,10.18316,-0.56593,Kirchwerder
